Time(s), Node 1, Node 2, Node 3, Node 49, Node 50 (Center), Node 51, Node 98 (Third Last), Node 99 (Second Last), Node 100 (Last)
   50.0, 759.85, 995.49, 999.95,  1000.0,           1000.0,  1000.0,               999.95,                995.49,          759.85
  100.0, 442.36, 984.33, 999.7 ,  1000.0,           1000.0,  1000.0,               999.7 ,                984.33,          442.36
  150.0, 243.23, 962.76, 999.02,  1000.0,           1000.0,  1000.0,               999.02,                962.76,          243.23
  200.0, 179.86, 937.73, 997.73,  1000.0,           1000.0,  1000.0,               997.73,                937.73,          179.86
  250.0, 161.1 , 912.81, 995.86,  1000.0,           1000.0,  1000.0,               995.86,                912.81,          161.1
  300.0, 154.8 , 889.02, 993.44,  1000.0,           1000.0,  1000.0,               993.44,                889.02,          154.8
  350.0, 151.88, 867.99, 990.56,  1000.0,           1000.0,  1000.0,               990.56,                867.99,          151.88
  400.0, 150.58, 863.97, 987.52,  1000.0,           1000.0,  1000.0,               987.52,                863.97,          150.58
  450.0, 150.02, 859.98, 984.54,  1000.0,           1000.0,  1000.0,               984.54,                859.98,          150.02
  500.0, 149.66, 856.02, 981.61,  1000.0,           1000.0,  1000.0,               981.61,                856.02,          149.66
  550.0, 149.34, 852.1 , 978.72,  1000.0,           1000.0,  1000.0,               978.72,                852.1 ,          149.34
  600.0, 149.04, 848.2 , 975.87,  1000.0,           1000.0,  1000.0,               975.87,                848.2 ,          149.04
  650.0, 148.75, 844.35, 973.06,  1000.0,           1000.0,  1000.0,               973.06,                844.35,          148.75
  700.0, 148.46, 840.52, 970.29,  1000.0,           1000.0,  1000.0,               970.29,                840.52,          148.46
  750.0, 148.17, 836.73, 967.55,  1000.0,           1000.0,  1000.0,               967.55,                836.73,          148.17
  800.0, 147.89, 832.97, 964.85,  1000.0,           1000.0,  1000.0,               964.85,                832.97,          147.89
  850.0, 147.61, 829.24, 962.17,  1000.0,           1000.0,  1000.0,               962.17,                829.24,          147.61
  900.0, 147.33, 825.54, 959.52,  1000.0,           1000.0,  1000.0,               959.52,                825.54,          147.33
  950.0, 147.05, 821.87, 956.9 ,  1000.0,           1000.0,  1000.0,               956.9 ,                821.87,          147.05
 1000.0, 146.78, 818.24, 954.3 ,  1000.0,           1000.0,  1000.0,               954.3 ,                818.24,          146.78
 1050.0, 146.51, 814.63, 951.73,  1000.0,           1000.0,  1000.0,               951.73,                814.63,          146.51
 1100.0, 146.24, 811.06, 949.18,  1000.0,           1000.0,  1000.0,               949.18,                811.06,          146.24
 1150.0, 145.98, 807.51, 946.65,  1000.0,           1000.0,  1000.0,               946.65,                807.51,          145.98
 1200.0, 145.71, 804.0 , 944.14,  1000.0,           1000.0,  1000.0,               944.14,                804.0 ,          145.71
 1250.0, 145.45, 800.51, 941.65,  1000.0,           1000.0,  1000.0,               941.65,                800.51,          145.45
 1300.0, 145.29, 797.04, 939.17,  1000.0,           1000.0,  1000.0,               939.17,                797.04,          145.29
 1350.0, 145.2 , 793.59, 936.69,  1000.0,           1000.0,  1000.0,               936.69,                793.59,          145.2
 1400.0, 145.13, 790.15, 934.22,  1000.0,           1000.0,  1000.0,               934.22,                790.15,          145.13
 1450.0, 145.06, 786.72, 931.76,  1000.0,           1000.0,  1000.0,               931.76,                786.72,          145.06
 1500.0, 144.98, 783.31, 929.3 ,  1000.0,           1000.0,  1000.0,               929.3 ,                783.31,          144.98
 1550.0, 144.91, 779.92, 926.84,  1000.0,           1000.0,  1000.0,               926.84,                779.92,          144.91
 1600.0, 144.84, 776.53, 924.38,  1000.0,           1000.0,  1000.0,               924.38,                776.53,          144.84
 1650.0, 144.76, 773.16, 921.93,  1000.0,           1000.0,  1000.0,               921.93,                773.16,          144.76
 1700.0, 144.68, 769.81, 919.48,  1000.0,           1000.0,  1000.0,               919.48,                769.81,          144.68
 1750.0, 144.6 , 766.47, 917.03,  1000.0,           1000.0,  1000.0,               917.03,                766.47,          144.6
 1800.0, 144.52, 763.15, 914.58,  1000.0,           1000.0,  1000.0,               914.58,                763.15,          144.52
 1850.0, 144.44, 759.84, 912.14,  1000.0,           1000.0,  1000.0,               912.14,                759.84,          144.44
 1900.0, 144.35, 756.54, 909.7 ,  1000.0,           1000.0,  1000.0,               909.7 ,                756.54,          144.35
 1950.0, 144.26, 753.26, 907.26,  1000.0,           1000.0,  1000.0,               907.26,                753.26,          144.26
 2000.0, 144.18, 749.99, 904.82,  1000.0,           1000.0,  1000.0,               904.82,                749.99,          144.18
 2050.0, 144.09, 746.74, 902.38,  1000.0,           1000.0,  1000.0,               902.38,                746.74,          144.09
 2100.0, 144.0 , 743.51, 899.95,  1000.0,           1000.0,  1000.0,               899.95,                743.51,          144.0
 2150.0, 143.86, 736.47, 897.47,  1000.0,           1000.0,  1000.0,               897.47,                736.47,          143.86
