Time(s),Node 1,Node 2,Node 3,Node 49,Node 50 (Center),Node 51,Node 98 (Third Last),Node 99 (Second Last),Node 100 (Last)
50.0,991.25,999.88,1000.0,1000.0,1000.0,1000.0,1000.0,999.88,991.25
100.0,983.03,999.53,999.99,1000.0,1000.0,1000.0,999.99,999.53,983.03
150.0,975.31,999.0,999.97,1000.0,1000.0,1000.0,999.97,999.0,975.31
200.0,968.04,998.29,999.94,1000.0,1000.0,1000.0,999.94,998.29,968.04
250.0,961.19,997.43,999.88,1000.0,1000.0,1000.0,999.88,997.43,961.19
300.0,954.71,996.44,999.81,1000.0,1000.0,1000.0,999.81,996.44,954.71
350.0,948.58,995.33,999.71,1000.0,1000.0,1000.0,999.71,995.33,948.58
400.0,942.77,994.12,999.58,1000.0,1000.0,1000.0,999.58,994.12,942.77
450.0,937.26,992.82,999.43,1000.0,1000.0,1000.0,999.43,992.82,937.26
500.0,932.01,991.45,999.24,1000.0,1000.0,1000.0,999.24,991.45,932.01
550.0,927.02,990.01,999.03,1000.0,1000.0,1000.0,999.03,990.01,927.02
600.0,922.26,988.51,998.79,1000.0,1000.0,1000.0,998.79,988.51,922.26
650.0,917.71,986.97,998.53,1000.0,1000.0,1000.0,998.53,986.97,917.71
700.0,913.36,985.38,998.23,1000.0,1000.0,1000.0,998.23,985.38,913.36
750.0,909.19,983.76,997.91,1000.0,1000.0,1000.0,997.91,983.76,909.19
800.0,905.19,982.11,997.55,1000.0,1000.0,1000.0,997.55,982.11,905.19
850.0,901.35,980.44,997.17,1000.0,1000.0,1000.0,997.17,980.44,901.35
900.0,897.66,978.75,996.77,1000.0,1000.0,1000.0,996.77,978.75,897.66
950.0,894.1,977.04,996.34,1000.0,1000.0,1000.0,996.34,977.04,894.1
1000.0,890.67,975.32,995.88,1000.0,1000.0,1000.0,995.88,975.32,890.67
1050.0,887.36,973.6,995.4,1000.0,1000.0,1000.0,995.4,973.6,887.36
1100.0,884.16,971.87,994.9,1000.0,1000.0,1000.0,994.9,971.87,884.16
1150.0,881.06,970.13,994.38,1000.0,1000.0,1000.0,994.38,970.13,881.06
1200.0,878.06,968.4,993.83,1000.0,1000.0,1000.0,993.83,968.4,878.06
1250.0,875.15,966.67,993.27,1000.0,1000.0,1000.0,993.27,966.67,875.15
1300.0,872.33,964.93,992.68,1000.0,1000.0,1000.0,992.68,964.93,872.33
1350.0,869.59,963.21,992.08,1000.0,1000.0,1000.0,992.08,963.21,869.59
1400.0,868.26,961.5,991.46,1000.0,1000.0,1000.0,991.46,961.5,868.26
1450.0,867.76,959.85,990.83,1000.0,1000.0,1000.0,990.83,959.85,867.76
1500.0,867.24,958.25,990.18,1000.0,1000.0,1000.0,990.18,958.25,867.24
1550.0,866.72,956.71,989.52,1000.0,1000.0,1000.0,989.52,956.71,866.72
1600.0,866.18,955.22,988.85,1000.0,1000.0,1000.0,988.85,955.22,866.18
1650.0,865.64,953.78,988.17,1000.0,1000.0,1000.0,988.17,953.78,865.64
1700.0,865.09,952.38,987.48,1000.0,1000.0,1000.0,987.48,952.38,865.09
1750.0,864.53,951.02,986.79,1000.0,1000.0,1000.0,986.79,951.02,864.53
1800.0,863.97,949.7,986.1,1000.0,1000.0,1000.0,986.1,949.7,863.97
1850.0,863.4,948.42,985.4,1000.0,1000.0,1000.0,985.4,948.42,863.4
1900.0,862.82,947.17,984.7,1000.0,1000.0,1000.0,984.7,947.17,862.82
1950.0,862.24,945.96,983.99,1000.0,1000.0,1000.0,983.99,945.96,862.24
2000.0,861.65,944.77,983.29,1000.0,1000.0,1000.0,983.29,944.77,861.65
2050.0,861.06,943.62,982.59,1000.0,1000.0,1000.0,982.59,943.62,861.06
2100.0,860.46,942.49,981.88,1000.0,1000.0,1000.0,981.88,942.49,860.46
2150.0,859.86,941.38,981.18,1000.0,1000.0,1000.0,981.18,941.38,859.86
2200.0,859.26,940.3,980.48,1000.0,1000.0,1000.0,980.48,940.3,859.26
2250.0,858.65,939.24,979.78,1000.0,1000.0,1000.0,979.78,939.24,858.65
2300.0,858.04,938.21,979.08,1000.0,1000.0,1000.0,979.08,938.21,858.04
2350.0,857.42,937.19,978.39,1000.0,1000.0,1000.0,978.39,937.19,857.42
2400.0,856.81,936.19,977.7,1000.0,1000.0,1000.0,977.7,936.19,856.81
2450.0,856.18,935.22,977.01,1000.0,1000.0,1000.0,977.01,935.22,856.18
2500.0,855.56,934.25,976.32,1000.0,1000.0,1000.0,976.32,934.25,855.56
2550.0,854.94,933.31,975.63,1000.0,1000.0,1000.0,975.63,933.31,854.94
2600.0,854.31,932.38,974.95,1000.0,1000.0,1000.0,974.95,932.38,854.31
2650.0,853.68,931.47,974.28,1000.0,1000.0,1000.0,974.28,931.47,853.68
2700.0,853.05,930.56,973.6,1000.0,1000.0,1000.0,973.6,930.56,853.05
